drug,brand,modality,application,indNumbers,approvalStatus,reviewYear,evidenceType,stage,topicTags,summary,limitation,sources,verificationDate
Ivacaftor,Kalydeco · VX-770,Small molecule,NDA 203188,74633,Approved application; 2012 public review package,2012,reproduced,initial,Nonclinical evidence; Dose justification; PK/PD,"Appendix 1 preserves the 2006 pharmacology/toxicology review of the initial IND, subsequent responses, and an amendment. It evaluates safety pharmacology, ADME, repeat-dose toxicology, and the proposed clinical dose escalation.","This is one discipline’s review, not the complete IND. Other appendices cover later development.",https://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/203188Orig1s000PharmR.pdf#page=79 | https://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/203188Orig1s000PharmR.pdf#page=122,2026-09-16
Osimertinib,Tagrisso · AZD9291,Small molecule,NDA 208065,117879,Approved application; 2015 public review package,2015,reproduced,later,Nonclinical evidence; Toxicokinetics; Reversibility,"An appendix explicitly reproduces material from the IND review: one-month rat and dog toxicity studies, recovery assessments, and toxicokinetics.",The extract begins at the Appendix/Attachments heading on PDF p. 134. Earlier text on that page belongs to the later NDA assessment. The full initial IND is not reproduced.,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/208065Orig1s000PharmR.pdf#page=134 | https://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/208065Orig1s000PharmR.pdf#page=140,2026-09-16
Suvorexant,Belsomra · MK-4305,Small molecule,NDA 204569,101847,Approved application; 2014 public review package,2014,summary,initial,Formulation; Nonclinical evidence,The review describes the initial one-month rat/dog studies and concerns in the June 2008 May Proceed letter about differences between nonclinical and clinical formulations. It traces subsequent formulation discussions and additional toxicology work.,Some formulation details are redacted. This is a retrospective account; do not infer the hidden excipient or apply the later study battery to every initial IND.,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/204569Orig1s000PharmR.pdf#page=34 | https://www.accessdata.fda.gov/drugsatfda_docs/nda/2014/204569Orig1s000PharmR.pdf#page=66,2026-09-16
Tofacitinib,"Xeljanz · CP-690,550",Small molecule,NDA 203214,70903,Approved application; 2012 public review package,2012,reproduced,later,Nonclinical evidence; Selectivity; Study reuse,"Table 13 explicitly credits a June 24, 2005 IND nonclinical review for the receptor/ion-channel screening information. The regulatory history separately describes how nonclinical questions evolved through later meetings and NDA review.","The reproduced item is a table, not an entire IND review. The NDA-era exposure comparisons and later reproductive-study issues should not be assigned to the initial IND.",https://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/203214Orig1s000PharmR.pdf#page=505 | https://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/203214Orig1s000PharmR.pdf#page=41,2026-09-16
Venetoclax,Venclexta · ABT-199,Small molecule,NDA 208573,110159,Approved application; 2016 public review package,2016,summary,later,Clinical hold; Dose escalation; Tumor lysis,"The clinical review dates IND opening to 2010, a partial clinical hold to December 2012, and its removal to May 2013. It describes how tumor lysis events prompted changes to dose ramp-up, risk assessment, and prophylaxis.",These are clinical-development events after initial human dosing. They are not the original nonclinical package or a current dosing guide.,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2016/208573Orig1s000MedR.pdf#page=28 | https://www.accessdata.fda.gov/drugsatfda_docs/nda/2016/208573Orig1s000MedR.pdf#page=64 | https://www.accessdata.fda.gov/drugsatfda_docs/nda/2016/208573Orig1s000MedR.pdf#page=96,2026-09-16
Sotorasib,Lumakras · AMG 510,Small molecule,NDA 214665,139023; 145628,Approved application; 2021 public review package,2021,meeting,later,FDA meetings; Submission; Clinical evidence,"The package includes Type B pre-NDA meeting minutes under IND 145628, with questions and FDA responses on nonclinical sufficiency, clinical evidence, and clinical pharmacology. Its history identifies the 2018 first-in-human submission under IND 139023.","This is a late-development meeting, not a first-in-human IND review. The two IND numbers refer to different records within the program.",https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/214665Orig1s000AdminCorres.pdf#page=12 | https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/214665Orig1s000AdminCorres.pdf#page=17,2026-09-16
Diclofenac sodium topical solution,Pennsaid,Small molecule,NDA 020947,42773,Original application approved 2009-11-04,2009,summary,initial,Nonclinical evidence; Formulation; Clinical hold,"The retrospective history describes the initial IND hold recommendation, the inadequacy of a literature-only response, and requests for route-specific absorption, interaction, and product-toxicity information. FDA questioned treating DMSO as an inactive excipient.","Historical product-specific requirements, not a current universal study list. The cited text describes a hold recommendation and subsequent deficiencies; it is not a complete original IND.",https://www.accessdata.fda.gov/drugsatfda_docs/nda/2009/020947s000pharmr.pdf#page=45,2026-09-16
Vardenafil,Levitra · BAY 38-9456,Small molecule,NDA 021400,,Original application approved 2003-08-19,2003,reproduced,later,Nonclinical evidence; Toxicokinetics; Carcinogenicity,Appendix I includes a February 1999 IND review of rodent carcinogenicity protocols. The reviewer asks for parent-drug and active-metabolite Cmax/AUC measurements and discusses dose selection.,"This is later nonclinical development, not the initial human-study package. Nineteen pages are explicitly redacted before this retained review; the IND number is redacted.",https://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/21-400_Levitra_Pharmr_P2.pdf#page=16,2026-09-16
Faricimab,Vabysmo · RO6867461,Biologic · bispecific antibody,BLA 761235,119225,Original application approved 2022-01-28,2022,summary,initial,Nonclinical evidence; Dose escalation; Immunogenicity; Formulation,The initial IND history says animal data supported the starting dose but raised concerns about higher doses because of ocular inflammation. FDA would assess lower-dose human data before escalation. Later discussions address formulation changes and evidence for longer studies.,The history contains inconsistent calendar dates around the initial submission/review; use the sequence of decisions rather than reconstructing exact timing. Initial-IND conclusions are summarized or excerpted within a later BLA review.,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2022/761235Orig1s000PharmR.pdf#page=15 | https://www.accessdata.fda.gov/drugsatfda_docs/nda/2022/761235Orig1s000PharmR.pdf#page=26,2026-09-16
Ipratropium bromide HFA inhaler,Atrovent HFA,Small molecule,NDA 021527,45938,Original application approved 2004-11-17,2004,summary,initial,Clinical hold; Formulation; Clinical bridging; Device,"The history records an initial IND hold for lack of Phase 1 healthy-volunteer data, later lifting, and additional PK/dose-ranging studies after valve changes. CMC discussions addressed delivery, impurities, and device comparability.",A new formulation/device of an established drug. Initial U.S. IND and product bridging do not mean first-ever human exposure to ipratropium.,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/021527s000_MedR.pdf#page=38,2026-09-16
