ApplicationDocsID,ApplNo,SubmissionType,SubmissionNo,ApplicationDocsTitle,ApplicationDocsURL,ApplicationDocsDate,VerificationStatus
3206,020725,ORIG,1,"This Former NDA Was Deemed To Be a BLA on March 23, 2020.",http://www.accessdata.fda.gov/drugsatfda_docs/nda/2009/020725_creon_toc.html,2020-03-23 00:00:00,INDEX ONLY - content not screened for IND information
3937,020986,SUPPL,2,"This Former NDA Was Deemed To Be a BLA on March 23, 2020.",http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/020986Orig1s002.pdf,2020-03-23 00:00:00,INDEX ONLY - content not screened for IND information
4240,021081,SUPPL,17,"This Former NDA Was Deemed To Be a BLA on March 23, 2020.",http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/021081_s017_Lantus.pdf,2020-03-23 00:00:00,INDEX ONLY - content not screened for IND information
4241,021081,SUPPL,24,"This Former NDA Was Deemed To Be a BLA on March 23, 2020.",http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021081Orig1s024.pdf,2020-03-23 00:00:00,INDEX ONLY - content not screened for IND information
5670,021536,SUPPL,15,"This Former NDA Was Deemed To Be a BLA on March 23, 2020.",http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021536Orig1s015.pdf,2020-03-23 00:00:00,INDEX ONLY - content not screened for IND information
5677,021536,SUPPL,51,"This Former NDA Was Deemed To Be a BLA on March 23, 2020.",http://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/021536Orig1s051.pdf,2020-03-23 00:00:00,INDEX ONLY - content not screened for IND information
5878,021629,SUPPL,8,"This Former NDA Was Deemed To Be a BLA on March 23, 2020.",http://www.accessdata.fda.gov/drugsatfda_docs/nda/2009/021629Orig1s008.pdf,2020-03-23 00:00:00,INDEX ONLY - content not screened for IND information
7004,022175,ORIG,1,"This Former NDA Was Deemed To Be a BLA on March 23, 2020.",http://www.accessdata.fda.gov/drugsatfda_docs/nda/2012/022175Orig1s000SumR.pdf,2020-03-23 00:00:00,INDEX ONLY - content not screened for IND information
14187,021018,ORIG,1,"This Former NDA Was Deemed To Be a BLA on March 23, 2020.",http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/21017_Humalog.html,2020-03-23 00:00:00,INDEX ONLY - content not screened for IND information
15713,021536,ORIG,1,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2005/021-536_LevemirTOC.html,2020-03-23 00:00:00,INDEX ONLY - content not screened for IND information
15851,021597,ORIG,1,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/021597s000_ZorbtiveTOC.html,2020-03-23 00:00:00,INDEX ONLY - content not screened for IND information
20003,004782,SUPPL,130,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/004782_S115&S130_PREMARIN_TABLETS.pdf,2007-04-09 00:00:00,INDEX ONLY - content not screened for IND information
20004,005970,SUPPL,13,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/005970-S13_Sotradecol_toc.html,2003-08-08 00:00:00,INDEX ONLY - content not screened for IND information
20005,005970,SUPPL,22,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/005970-S22_Sotradecol_toc.html,2003-08-08 00:00:00,INDEX ONLY - content not screened for IND information
20006,005970,SUPPL,30,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/005970-S30_Sotradecol_toc.html,2003-08-08 00:00:00,INDEX ONLY - content not screened for IND information
