document_id,url,pdf_page,terms,applications,lesson_hints,manual_status
00202911012b276ae602773a,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2022/208891Orig1s000.pdf,854,may_proceed,208891,nonclinical-pkpd; cmc-material; cmc-controls,Unreviewed strong-term hit
00202911012b276ae602773a,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2022/208891Orig1s000.pdf,944,may_proceed,208891,cmc-material; clinical,Unreviewed strong-term hit
00565e342bb02cfd37718584,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/217513Orig1s000MultidisciplineR.pdf,128,investigator_brochure,217513,nonclinical-pkpd; cmc-material; cmc-controls; cmc-stability; clinical-dose,Unreviewed strong-term hit
00565e342bb02cfd37718584,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/217513Orig1s000MultidisciplineR.pdf,129,investigator_brochure,217513,nonclinical-pkpd; clinical-dose,Unreviewed strong-term hit
00708f8645070e6792d19159,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/214018Orig1s000IntegratedR.pdf,71,pre_ind,214018,nonclinical-pkpd; nonclinical-package; cmc-controls; clinical,Unreviewed strong-term hit
00708f8645070e6792d19159,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/214018Orig1s000IntegratedR.pdf,168,ind_review,214018,nonclinical-safety,Unreviewed strong-term hit
00708f8645070e6792d19159,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/214018Orig1s000IntegratedR.pdf,170,may_proceed,214018,nonclinical-pkpd; nonclinical-safety; clinical-dose,Unreviewed strong-term hit
00708f8645070e6792d19159,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/214018Orig1s000IntegratedR.pdf,210,ind_review,214018,nonclinical-safety,Unreviewed strong-term hit
00708f8645070e6792d19159,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/214018Orig1s000IntegratedR.pdf,213,may_proceed,214018,cmc-material,Unreviewed strong-term hit
00708f8645070e6792d19159,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/214018Orig1s000IntegratedR.pdf,215,pre_ind,214018,nonclinical-safety,Unreviewed strong-term hit
00708f8645070e6792d19159,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/214018Orig1s000IntegratedR.pdf,276,may_proceed,214018,nonclinical-safety; cmc-controls; clinical-dose,Unreviewed strong-term hit
00945678be2c7ff998228256,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2020/209575Orig1s000MedR.pdf,28,pre_ind,209575,nonclinical-safety; cmc-controls,Unreviewed strong-term hit
00945678be2c7ff998228256,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2020/209575Orig1s000MedR.pdf,29,pre_ind,209575,cmc-material,Unreviewed strong-term hit
