ApplicationDocsID,ApplicationDocsTypeID,ApplNo,SubmissionType,SubmissionNo,ApplicationDocsTitle,ApplicationDocsURL,ApplicationDocsDate,UnparsedExtraFields,screening_status
1,1,004782,SUPPL     ,125,0,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/04782slr125ltr.pdf,2003-07-28 00:00:00,[],Unscreened Stage B index row
2,1,004782,SUPPL     ,128,0,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/04782slr128ltr.pdf,2002-11-27 00:00:00,[],Unscreened Stage B index row
3,1,004782,SUPPL     ,130,0,"http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/04782se2-115,slr130ltr.pdf",2003-05-16 00:00:00,[],Unscreened Stage B index row
4,1,004782,SUPPL     ,138,0,"http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2005/004782s138,139ltr.pdf",2005-04-12 00:00:00,[],Unscreened Stage B index row
5,1,004782,SUPPL     ,141,0,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2005/004782s141ltr.pdf,2005-08-04 00:00:00,[],Unscreened Stage B index row
6,1,004782,SUPPL     ,142,0,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2005/004782s142ltr.pdf,2005-11-03 00:00:00,[],Unscreened Stage B index row
7,1,004782,SUPPL     ,147,0,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2006/04782s147_ltr.pdf,2006-09-18 00:00:00,[],Unscreened Stage B index row
8,1,004782,SUPPL     ,164,0,"http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/004782s162,s164,s0167ltr.pdf",2011-10-31 00:00:00,[],Unscreened Stage B index row
9,1,004782,SUPPL     ,167,0,"http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/004782s162,s164,s0167ltr.pdf",2011-10-31 00:00:00,[],Unscreened Stage B index row
10,1,004782,SUPPL     ,171,0,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2014/004782Orig1s171ltr.pdf,2014-12-04 00:00:00,[],Unscreened Stage B index row
11,1,005010,SUPPL     ,47,0,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/05010slr047ltr.pdf,2003-03-10 00:00:00,[],Unscreened Stage B index row
